determinant_code,determinant_name,unit,coverage_in_pivot,column_median,scaler_mean,scaler_std
111,Ammoniacal Nitrogen as N,MILLIGRAM PER LITRE,0.8893568147013783,0.035500000000000004,0.10342705204922661,0.8057422810142582
116,"Nitrogen, Total Oxidised as N",MILLIGRAM PER LITRE,0.8922281776416539,3.94,4.831508434007,4.215932135370836
117,Nitrate as N,MILLIGRAM PER LITRE,0.8454249617151608,3.9400000000000004,4.791543050694366,4.168982576192367
118,Nitrite as N,MILLIGRAM PER LITRE,0.8733728943338438,0.018,0.027795184599751614,0.04044563417900276
119,Ammonia un-ionised as N,MILLIGRAM PER LITRE,0.8417879019908117,0.000435,0.0010801668172067292,0.006101832091276692
162,Alkalinity to pH 4.5 as CaCO3,MILLIGRAM PER LITRE,0.8513591117917305,180.0,162.00795980580332,89.84546210549505
180,"Orthophosphate, reactive as P",MILLIGRAM PER LITRE,0.8847626339969372,0.072,0.15728048436265102,0.32263150752030684
61,pH,PH UNITS,0.9509954058192955,7.89,7.8182460200970985,0.3562021132139439
76,Temperature of Water,CELSIUS,0.9144333843797856,10.8,10.732923111663093,1.625461207099086
77,Conductivity at 25 C,MICROSIEMENS PER CENTIMETRE,0.9013208269525268,600.5,656.2209834029582,1242.9586092772793
9901,"Oxygen, Dissolved, % Saturation",PERCENTAGE,0.9007465543644717,93.8,91.48796432200521,9.922806079982049
9924,"Oxygen, Dissolved as O2",MILLIGRAM PER LITRE,0.8548047473200613,10.4,10.224047645929772,1.2330512145562222
